type,word
directObjectVerb,avoids
directObjectVerb,does not like
directObjectVerb,laughs at
directObjectVerb,confounds
directObjectVerb,admires
directObjectVerb,buys
directObjectVerb,destroys
directObjectVerb,mentors
directObjectVerb,creates
